source,cluster
abcnews,2
activistpost,0
allianceadvancedhealth,1
alternativemediatelevisionamtv,-1
althealthworks,1
americanintelligencemedia,1
australiannationalreview,0
autisminvestigated,-1
awarenessact,1
bbc,-1
bigleaguepolitics,5
birminghammail,2
breaking911,-1
businessinsider,-1
cbsnews,2
channel4newsuk,3
charlotteobserver,2
chicagosuntimes,-1
chicagotribune,4
clashdaily,-1
climatechangedispatch,-1
climatism,6
cnbc,4
cnet,-1
collectiveevolution,0
committeeconstructivetomorrowcfactorg,6
conspiracydailyupdate,-1
cosmicintelligenceagency,1
crikey,5
crooksandliars,-1
csglobe,-1
curiousmindmagazine,1
dailyhealthpost,-1
dailyherald,2
dailymail,-1
dailyrecord,2
dailysignal,-1
dailystormer,-1
davidicke,0
dcgazette,-1
democracynow,4
denverpost,2
discoveryinstitute,-1
endtimeheadlines,0
escapeallthesethings,1
evolutionnewsandviews,6
fellowshipoftheminds,1
fivethirtyeight,5
foreignpolicy,2
foreverconscious,1
france24,2
freedomdaily,-1
freedomoutpost,-1
freethoughtproject,0
geoengineeringwatch,1
getholistichealth,1
globalresearch,0
greenmedinfo,1
gulagbound,1
haarpnet,1
healingoracle,0
healthimpactnews,0
healthnutnews,-1
healthsciencesinstitute,1
healthyfoodhouse,-1
healthyholisticliving,1
heraldsun,-1
hotair,2
humansarefree,0
iceagenow,6
illuminatiwatcher,-1
inews,-1
infiniteunknown,-1
infowars,0
intellihub,-1
iowaclimatescienceeducation,-1
ipolitics,2
jesusdaily,1
jesusissavior,-1
junksciencecom,1
larouchepac,-1
lifespa,1
londoneveningstandard,2
mcclatchydc,2
mercola,1
moscowtimes,-1
motherjones,-1
nationalfile,0
nationalinterest,-1
nationalreview,2
naturalhealth365,1
naturalnews,3
needtoknow,0
newamericannews,1
newrepublic,3
newsinsideoutcom,1
newspunch,0
newswars,0
newsweek,2
newyorker,-1
newyorktimes,-1
noqreport,0
notrickszone,1
now8news,-1
nowtheendbegins,-1
npr,2
oann,2
oyenews,1
pbs,-1
personalliberty,1
pinknews,-1
politicalinsider,-1
politicalwire,3
politico,2
prepareforchange,0
principiascientificinternational,0
prisonplanet,0
prntly,1
rapturenewsnetwork,6
realclearpolitics,0
realclimatescience,1
realfarmacy,-1
realjewnews,-1
returntonow,1
reuters,-1
revolutionradio,0
rollcall,3
rtnews,-1
russiainsider,-1
sanevax,1
sgtreport,0
shoebat,5
shtfplan,0
signsofthetimessott,0
skeptiko,3
slate,2
southfront,0
sputniknews,2
stillnessinthestorm,0
summitnews,0
sustainablepulse,-1
talkingpointsmemo,-1
theamericanconservative,3
theatlantic,5
thebulwark,5
theconservativetreehouse,-1
thecorbettreport,1
thedailyconspiracy,1
thedailysheeple,-1
thedcclothesline,0
theduran,0
thefiscaltimes,-1
thegatewaypundit,0
thehill,2
theintercept,2
theirishtimes,2
thejakartapost,-1
thejerusalempost,5
thelibertybeacon,0
themillenniumreport,-1
themindunleashed,-1
thenation,-1
theroot,2
thesmokinggun,1
theverge,4
thewashingtonstandard,0
theweekuk,4
thinkingmomsrevolution,1
thoughtcrimeradio,0
trueactivist,1
truepundit,-1
ukcolumn,-1
upi,2
usahitman,-1
usatoday,2
usawatchdogcom,1
vaxxter,-1
vdare,-1
veteranstoday,-1
vigilantcitizen,1
vox,2
wakingtimes,0
washingtonmonthly,5
washingtonpost,2
wattsupwiththat,-1
weareanonymous,-1
welovetrump,-1
worldnetdailywnd,-1
worldtruthtv,0
x22report,-1
yahoonews,-1
zerohedge,0
usnews,2
telegraph,-1
seattletimes,2
conservativehome,2
djhjmedia,-1
lifesitenews,0
sanjosemercurynews,2
nationalobserver,2
pravdareport,3
savethemales,1
vaccinesrevealed,-1
